Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
$	NULL				$
^	NULL				^
ç	ç	a mɯ çi, bɯ çә	Kucong	22	\xe7
ü	ü	nü er32, nü hai32	Mandarin Chinese	4	\xfc
^ç	ç	çәr, çi bɯ	Kucong	29	^ \xe7
+	+	v+ ka*	Na (Lahu)	1	+
ee	eː	keelmil aol huhu, aq keel	Hani	19	e e
ii	iː	siivq, siil	Hani, Zaiwa, Sichuan Yi	9	i i
yy	yː	hapyyr, saq yyuq piul taoq	Hani, Sichuan Yi	4	y y
^ee	eː	eelju, eelniq niq	Hani	4	^ e e
^ii	iː	iie* ta*	Na (Lahu)	1	^ i i
^yy	yː	yyxiy, yyxcy	Sichuan Yi	3	^ y y
ee$	eː	kaoq baoq gee, doq hheivq gee	Hani	5	e e $
uu$	uː	auu	Kucong	1	u u $
yy$	yː	axyy, jjiyy	Sichuan Yi	4	y y $
&	<?>	d&o	Nesu	1	&
*	<?>	ka* meu* khawd, ca* ti* tu*	Na (Lahu)	36	*
-	<?>	n-gup, -ga	Jinghpaw, Kucong	6	-
.	<?>	v.55 dzv.31, pv.55	Biyo, Naxi, Baihong, Samei, Jino, Na (Lahu), Kucong, Zauzou	143	.
1	<?>	wu1 ya1, bei1 zi0	Mandarin Chinese	6	1
2	<?>	wen2 zi0, hua2 jiang3	Mandarin Chinese	4	2
3	<?>	shui3 ta3, da3 kai1	Mandarin Chinese	3	3
4	<?>	wei4 dao0, shu4 ye4	Mandarin Chinese	11	4
?	<?>	no? 21, lo? 21 ŋju_i 21	Zaiwa, Zauzou, Na (Lahu), Kucong, Nisu	38	?
ә	<?>	mә gә lә ә, çәr	Naxi, Samei, Kucong, Jino, Nusu	124	\u04d9
A	<?>	mA53 dA 21, ŋA31 nA35 pA31	Lahu Shi, Nisu, Nusu	225	A
E	<?>	dzE 33, tsE 55 lE 55	Nisu	48	E
L	<?>	dzɤ Lɤ	Samei	1	L
S	<?>	tSo	Nusu	1	S
`	<?>	ʃo` 21 ku_ 21, pjo` 21 pau 55 mji 21	Zaiwa	30	`
&h	<?>	nd&hi 21	Nesu	1	& h
*$	<?>	pheu*, peoq meof peu*	Na (Lahu)	60	* $
0$	<?>	bei1 zi0, wen2 zi0	Mandarin Chinese	5	0 $
1$	<?>	gao1, gan1	Mandarin Chinese	61	1 $
11	<?>	ɕi11 A11, sA11 bɔ54	Lahu Shi	4	1 1
13	<?>	tʂhә 13 kv33, la 13 tsu 13	Naxi	2	1 3
2$	<?>	chang2, shu2	Mandarin Chinese	50	2 $
21	<?>	ŋo 21 ne_ 21 ne_ 21, pha? 21 lap 21 kom 51	Zaiwa, Nisu, Nesu, Lahu Shi, Biyo	239	2 1
23	<?>	mbi 23 ndi31	Naxi	1	2 3
3$	<?>	jiao3, wan3	Mandarin Chinese	61	3 $
31	<?>	wo 55 dʊ31 ba31 la31, a31 jo31	Baihong, Biyo, Lahu Shi, Lisu, Zauzou, Naxi, Zaiwa	511	3 1
33	<?>	nA33 mo31 nA33 gɤ53 sɯ54, ni33 ma33 sɨ11	Lahu Shi, Naxi, Nesu, Nisu, Biyo, Zauzou, Lisu, Baihong	279	3 3
35	<?>	kæ 35 mi 35 ʑa 44, mɯ 31 lɯ 35 ku 35 dʒɪ 33	Lahu Shi, Lisu, Zauzou, Biyo	88	3 5
4$	<?>	jin4, la4	Mandarin Chinese	74	4 $
