Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
_	_	a 55 ɲi 21 zo 33, voʔ 21 kan 21 ʃiŋ 55 jaŋ 21	Lisu, Zaiwa, Zauzou, Nisu, Nesu, Jino, Baihong, Lahu Shi, Kucong, Na (Lahu), Biyo, Samei, Hani, Mandarin Chinese, Naxi, Nusu, Jinghpaw, Sichuan Yi	6093	U+005f
a	a	na55, dza31	Jinghpaw, Na (Lahu), Mandarin Chinese, Hani, Baihong, Zaiwa, Lisu, Zauzou, Biyo, Naxi, Jino, Kucong, Nesu, Sichuan Yi, Samei, Nusu, Lahu Shi	1964	U+0061
i	i	ɲi31, mil caq mil bieiv	Mandarin Chinese, Na (Lahu), Hani, Biyo, Zaiwa, Nisu, Sichuan Yi, Lisu, Nesu, Lahu Shi, Zauzou, Jinghpaw, Naxi, Baihong, Nusu, Kucong, Samei, Jino	1672	U+0069
o	o	ŋo 33, no 21	Hani, Zaiwa, Mandarin Chinese, Biyo, Zauzou, Nesu, Nisu, Sichuan Yi, Baihong, Lisu, Na (Lahu), Jinghpaw, Jino, Lahu Shi, Kucong, Naxi, Nusu, Samei	1146	U+006f
u	u	ɔ31 u53 ku33, mu 44 ku 55	Mandarin Chinese, Zaiwa, Hani, Lisu, Na (Lahu), Sichuan Yi, Jinghpaw, Nesu, Nisu, Zauzou, Lahu Shi, Naxi, Nusu, Samei, Jino, Baihong, Kucong, Biyo	1133	U+0075
e	e	shedex, se 55	Na (Lahu), Hani, Mandarin Chinese, Baihong, Nesu, Sichuan Yi, Lisu, Zaiwa, Biyo, Naxi, Zauzou, Samei, Jino, Jinghpaw, Kucong, Lahu Shi, Nusu, Nisu	712	U+0065
33$	<?>	ŋo 33, no 33	Nesu, Nisu, Naxi, Lisu, Biyo, Lahu Shi, Zauzou, Mandarin Chinese	680	U+0033 U+0033 U+0024
31$	<?>	mo31, sɨ31	Baihong, Biyo, Lisu, Naxi, Lahu Shi, Zauzou, Mandarin Chinese, Zaiwa	678	U+0033 U+0031 U+0024
55$	<?>	na55, mɔ55	Baihong, Biyo, Zaiwa, Nesu, Nisu, Naxi, Lisu, Zauzou, Lahu Shi	677	U+0035 U+0035 U+0024
n	n	a na, shana	Mandarin Chinese, Jinghpaw, Zaiwa, Sichuan Yi, Hani, Jino, Kucong, Lahu Shi, Naxi, Nisu, Na (Lahu), Lisu, Samei, Nusu, Baihong, Biyo, Nesu, Zauzou	614	U+006e
^m	m	mi, mɔ	Naxi, Jinghpaw, Kucong, Lahu Shi, Na (Lahu), Biyo, Jino, Zaiwa, Lisu, Nusu, Zauzou, Nesu, Samei, Nisu, Baihong, Sichuan Yi, Mandarin Chinese, Hani	594	U+005e U+006d
m	m	hmi, ʝa mi ma	Zaiwa, Jino, Sichuan Yi, Hani, Na (Lahu), Lisu, Lahu Shi, Jinghpaw, Kucong, Biyo, Baihong, Samei, Naxi, Nusu, Nesu, Nisu, Zauzou, Mandarin Chinese	549	U+006d
31	<?>	wo 55 dʊ31 ba31 la31, a31 jo31	Baihong, Biyo, Lahu Shi, Lisu, Zauzou, Naxi, Zaiwa	511	U+0033 U+0031
^a	a	a na, a ji	Jino, Hani, Baihong, Kucong, Na (Lahu), Lisu, Sichuan Yi, Zaiwa, Samei, Biyo, Nesu, Zauzou, Nusu, Naxi, Mandarin Chinese, Jinghpaw	494	U+005e U+0061
