language	concept	value
Mandarin	animal	dong wu44
Nasu	animal	-
Lisu	animal	-
Baihong	animal	dʒe31 (?)
Hani	animal	yo deiv ssaq
Nosu	animal	lyrw
Samei	animal	-
Nisu	animal	-
Biyue	animal	-
Kucong	animal	-
Nusu	animal	-
Jinghpo	animal	dusat dumyeng
Lahu Shi	animal	-
Lahu Na	animal	to nud to shat
Zaozou	animal	-
Jinuo	animal	pʊ tʃa to tʃa a mɔ
Naxi	animal	hɯ
Zaiwa	animal	-
Mandarin	ant	ma yi33
Nasu	ant	bi_ 55 ʑo_ 33
Lisu	ant	bo 42 lo 44
Baihong	ant	a55 f.55
Hani	ant	al wu lal deiq
Nosu	ant	bbutvup
Samei	ant	gә li hә
Nisu	ant	bɤ 55 xɤ_ 21
Biyue	ant	bi31 sv._33
Kucong	ant	bo o
Nusu	ant	la ʐʊ
Jinghpo	ant	kagyin
Lahu Shi	ant	pɤ331 ɣɔ53
Lahu Na	ant	piq xawt ni*
Zaozou	ant	pha 55 vu 42 o~ 33
Jinuo	ant	pu xo
Naxi	ant	tɕho55 lo33
Zaiwa	ant	pau 51 vo? 55
Mandarin	arm	ge bo10
Nasu	arm	la_ 55 pu 33
Lisu	arm	tɛ 35 vu 31
Baihong	arm	la31 dv.55
Hani	arm	lavq biav
Nosu	arm	hlopbbop
Samei	arm	le vy
Nisu	arm	li_ɛ_ 21 ʑi_ɛ_ 33 po_ 21
Biyue	arm	la_31 tv.55
Kucong	arm	la wo
Nusu	arm	lo
Jinghpo	arm	lahpum
Lahu Shi	arm	lA31 pɯ31
Lahu Na	arm	lar xawd
Zaozou	arm	lou 42 ɣæ 31
Jinuo	arm	la kho
Naxi	arm	la31 wa
Zaiwa	arm	lo? 21 pu 55
Mandarin	arrow	jian4
Nasu	arrow	nu 33 tɕhɚ 33
Lisu	arrow	tʃɛ 42 tʃɯ 35
Baihong	arrow	ga31 me31
Hani	arrow	kavmiaq
Nosu	arrow	hxi
Samei	arrow	-
Nisu	arrow	tɕhi_ɛ_ 21 ?u_ 33 thiɛ 55
Biyue	arrow	nv.31 ti55
Kucong	arrow	kha ʝi
Nusu	arrow	mra gwa
Jinghpo	arrow	ndan pala
Lahu Shi	arrow	khA313 tɕi33
Lahu Na	arrow	khaq ce
Zaozou	arrow	ɲo 31 a 44
Jinuo	arrow	lu tʃhɨ
Naxi	arrow	lɯ33 sɯ33
Zaiwa	arrow	lai 21 mjo 21
Mandarin	ashamed	can kui24
Nasu	ashamed	-
Lisu	ashamed	-
Baihong	ashamed	sa31 dɔ55
Hani	ashamed	nyuqsaq
Nosu	ashamed	nyitjie
Samei	ashamed	-
Nisu	ashamed	-
Biyue	ashamed	-
Kucong	ashamed	-
Nusu	ashamed	hrɔ
Jinghpo	ashamed	hkrit gaya
Lahu Shi	ashamed	-
Lahu Na	ashamed	mad qaw* yi*
Zaozou	ashamed	-
Jinuo	ashamed	mɒ sɒ jɒ
Naxi	ashamed	mә gʊ ɲi
Zaiwa	ashamed	-
Mandarin	ashes	yan hui11
Nasu	ashes	khu 55
Lisu	ashes	kho 31 ha 33
Baihong	ashes	xa31 lɛ31
Hani	ashes	yahyuq hallyul
Nosu	ashes	yimut
Samei	ashes	-
Nisu	ashes	khɯ 21 mu 21
Biyue	ashes	ko31 li55
Kucong	ashes	ʝa mɯ
Nusu	ashes	ja mi
Jinghpo	ashes	salik wan numwu
Lahu Shi	ashes	qhɔ 21 xA33
Lahu Na	ashes	shuq xeor
Zaozou	ashes	na 55 ma 35 phu 33
Jinuo	ashes	jɔ kho a mɔ (jɔ kho = ash??)
Naxi	ashes	mi ma
Zaiwa	ashes	mji 21 mop 55
Mandarin	awaken	xing3
Nasu	awaken	ʑi_ 55 tɕhɚ 33
Lisu	awaken	xua 55 sʃhɨ 31
Baihong	awaken	ny31
Hani	awaken	nyuq
Nosu	awaken	jyjji
Samei	awaken	ʐi ɲi
Nisu	awaken	nɯ 33
Biyue	awaken	ɲi31
Kucong	awaken	do no
Nusu	awaken	so
Jinghpo	awaken	hprang
Lahu Shi	awaken	zɨ31 nɔ55 lA33
Lahu Na	awaken	nawd
Zaozou	awaken	ɲe 35
Jinuo	awaken	-
Naxi	awaken	gә no33
Zaiwa	awaken	pun 21
Mandarin	back	bei4
Nasu	back	-
Lisu	back	-
Baihong	back	a31 dʑʊ31
Hani	back	daol teil
Nosu	back	gepdep
Samei	back	gau (gan? Possible typo) tɕi
Nisu	back	-
Biyue	back	-
Kucong	back	o dæ
Nusu	back	da (dɔ?)
Jinghpo	back	shingma
Lahu Shi	back	-
Lahu Na	back	phie*
Zaozou	back	-
Jinuo	back	a mɔ
Naxi	back	gɯ sɯ
Zaiwa	back	-
Mandarin	bad	huai4
Nasu	bad	ɖa_ 21
Lisu	bad	ma 31 dʒi 33
Baihong	bad	dy55
Hani	bad	maq meeq
Nosu	bad	ddi
Samei	bad	o mɔ dә (= not good)
Nisu	bad	dɤ 55
Biyue	bad	mo31 mɔ33
Kucong	bad	a na
Nusu	bad	ma gi (not good)
Jinghpo	bad	n gaja (not good)
Lahu Shi	bad	mA53 dA 21
Lahu Na	bad	lul qeu*
Zaozou	bad	tɕhɯ 31
Jinuo	bad	a ɬæ
Naxi	bad	kwa
Zaiwa	bad	then 21
Mandarin	bamboo	zhu zi20
Nasu	bamboo	mo 33
Lisu	bamboo	ma 44 da 33
Baihong	bamboo	xa31 bo55
Hani	bamboo	haq bol
Nosu	bamboo	ma
Samei	bamboo	mo
Nisu	bamboo	mo 55
Biyue	bamboo	o31 bo55
Kucong	bamboo	wa; wa ɟæ
Nusu	bamboo	hm,ɯ
Jinghpo	bamboo	kawa
Lahu Shi	bamboo	vA53 tɕɛ31
Lahu Na	bamboo	va jie*
Zaozou	bamboo	khuɔ 33 tse~ 33
Jinuo	bamboo	va (βa?)
Naxi	bamboo	mɯ55
Zaiwa	bamboo	va 21
Mandarin	banana	xiang jiao14
Nasu	banana	-
Lisu	banana	ŋa 44 ma 33
Baihong	banana	na31 dʑi31 a 55 sɨ31
Hani	banana	al qul
Nosu	banana	xiejuo
Samei	banana	-
Nisu	banana	-
Biyue	banana	ɕa~55 dʑau55
Kucong	banana	a bo ba
Nusu	banana	ŋo
Jinghpo	banana	guihkom
Lahu Shi	banana	A33 pɔ55 sɨ11
Lahu Na	banana	aq pawd hawq shif
Zaozou	banana	ɕa 33 tɕiɔ 31
Jinuo	banana	ɕaŋ tɕaɔ
Naxi	banana	ɕa33 tsia33
Zaiwa	banana	ŋo`ʔ 55 mjuʔ 21 xom 21
Mandarin	bark	shu pi41
Nasu	bark	-
Lisu	bark	-
Baihong	bark	ba55 xo55
Hani	bark	al bol al hov
Nosu	bark	-
Samei	bark	ʂɨ gy to gau
Nisu	bark	-
Biyue	bark	-
Kucong	bark	çә gә
Nusu	bark	si ku ʐe
Jinghpo	bark	-
Lahu Shi	bark	-
Lahu Na	bark	sit geul
Zaozou	bark	-
Jinuo	bark	a tsɨ a khɔ (=tree + shell)
Naxi	bark	ndza ɣɯ
Zaiwa	bark	-
Mandarin	barley	da ma44
Nasu	barley	zu 21
Lisu	barley	e 44 sɛ 35
Baihong	barley	mɯ31 dzɨ55
Hani	barley	daf meiq
Nosu	barley	ssup
Samei	barley	hɔ
Nisu	barley	ʐo 21
Biyue	barley	me35 dzɨ31
Kucong	barley	mә ɟɨ
Nusu	barley	swa dzwo (dzwɔ?)
Jinghpo	barley	htangmam
Lahu Shi	barley	mɤ31 tsɨ
Lahu Na	barley	ri sha*
Zaozou	barley	miæ 31 zao 31
Jinuo	barley	-
Naxi	barley	ndze33
Zaiwa	barley	me 55 ja 21
Mandarin	bat	bian fu12
Nasu	bat	ha_ 33 ɳo, 33
Lisu	bat	ua 31 la 31
Baihong	bat	a55 bi31 la55 xa31
Hani	bat	al ku bial hhaq
Nosu	bat	hxielup
Samei	bat	-
Nisu	bat	diɛ 21 vA 33
Biyue	bat	-
Kucong	bat	bu ŋjɛ
Nusu	bat	bja ja
Jinghpo	bat	hpatsip
Lahu Shi	bat	fA35 su 21
Lahu Na	bat	pol naq
Zaozou	bat	mi 31 khɯ 33 lou 42 o~
Jinuo	bat	pe ɔ pe ke
Naxi	bat	mbi33 mbә31
Zaiwa	bat	pha` 51 xi 55
Mandarin	be born, to	chu sheng11
Nasu	be born, to	-
Lisu	be born, to	-
Baihong	be born, to	bo55
Hani	be born, to	bo deivq
Nosu	be born, to	yur
Samei	be born, to	-
Nisu	be born, to	-
Biyue	be born, to	-
Kucong	be born, to	de le
Nusu	be born, to	pa
Jinghpo	be born, to	shangai
Lahu Shi	be born, to	-
Lahu Na	be born, to	paw
Zaozou	be born, to	-
Jinuo	be born, to	tsha to mә
Naxi	be born, to	ndʐɔ
Zaiwa	be born, to	-
Mandarin	beam	heng liang22
Nasu	beam	ɖu 21 le_ 21
Lisu	beam	hi 33 o 55 lo 33
Baihong	beam	xo55 dzo31
Hani	beam	-
Nosu	beam	-
Samei	beam	ʐo
Nisu	beam	tA 55 liA_ 21
Biyue	beam	lia~31
Kucong	beam	du xɔ
Nusu	beam	-
Jinghpo	beam	-
Lahu Shi	beam	liAŋ31
Lahu Na	beam	yiel caw*
Zaozou	beam	khɔ 33 ɣuo~ 35 te~ 44
Jinuo	beam	ta lja~ (cg. daliang)
Naxi	beam	-
Zaiwa	beam	khuŋ 51
Mandarin	bean	dou4
Nasu	bean	no_ 21
Lisu	bean	a 55 no 44
Baihong	bean	a55 be31
Hani	bean	nee beiv
Nosu	bean	nurma
Samei	bean	no
Nisu	bean	nu_ 33
Biyue	bean	ne33 sɨ31
Kucong	bean	ŋo
Nusu	bean	nu
Jinghpo	bean	lasi shapre
Lahu Shi	bean	nɔ54 sɨ11
Lahu Na	bean	nawt
Zaozou	bean	na 42 læ 31
Jinuo	bean	to; a tsɨ (common type)
Naxi	bean	ɣ. ny ly
Zaiwa	bean	nuʔ21
Mandarin	bear	xiong2
Nasu	bear	tɕhi 33 ʑe 21
Lisu	bear	ɣo 33 pha 31
Baihong	bear	xa31 xo55
Hani	bear	haoq'aol
Nosu	bear	wo
Samei	bear	-
Nisu	bear	zɨ 21 bA 33
Biyue	bear	o31 ji55
Kucong	bear	çja wo
Nusu	bear	wa
Jinghpo	bear	tsap
Lahu Shi	bear	ʑɛ31
Lahu Na	bear	yiel miq tawf
Zaozou	bear	vɔ 33 o~ 33
Jinuo	bear	aœ
Naxi	bear	ŋgv.31
Zaiwa	bear	vam 51
Mandarin	beautiful	piao liang40
Nasu	beautiful	ʑɔ 33
Lisu	beautiful	bi 33
Baihong	beautiful	dza31 ɕe31
