language	concept	value
Hani	beautiful	zaqqul
Nosu	beautiful	hxepsa
Samei	beautiful	sæ
Nisu	beautiful	bi 55
Biyue	beautiful	ga31
Kucong	beautiful	ɟɛ da
Nusu	beautiful	ljә
Jinghpo	beautiful	tsom
Lahu Shi	beautiful	ɣɔ35 sA33 dzAŋ53
Lahu Na	beautiful	ni sha ca*
Zaozou	beautiful	ʑa 42 ɣuo 35
Jinuo	beautiful	ji mɹɒ
Naxi	beautiful	lɯә
Zaiwa	beautiful	tʃo_i 21
Mandarin	bed	chuang2
Nasu	bed	je 33
Lisu	bed	e 31 ta 55 gu 33
Baihong	bed	u31 ɣa55
Hani	bed	hhaoqzao
Nosu	bed	itggo
Samei	bed	ʐ. gy (gә?)
Nisu	bed	zɨ_ 21 do 21
Biyue	bed	ja35
Kucong	bed	gu ɟu
Nusu	bed	jɔ dɯ
Jinghpo	bed	yupku
Lahu Shi	bed	zɨ31 phɯ33
Lahu Na	bed	rir pheu
Zaozou	bed	ʑa 42 pæ 33 tɕio 55
Jinuo	bed	i jɔ (= sleep + place)
Naxi	bed	tsua33
Zaiwa	bed	ku 55
Mandarin	bee	mi feng41
Nasu	bee	ɖo 21 ɲɯ 33
Lisu	bee	biɛ 31 ʒo 31
Baihong	bee	a31 ba31
Hani	bee	biaq sil
Nosu	bee	syjji
Samei	bee	ljɔ
Nisu	bee	xiɛ 21 dʐA 21 do 33
Biyue	bee	bo31
Kucong	bee	bjɛ
Nusu	bee	bjɔ
Jinghpo	bee	lagat
Lahu Shi	bee	pɛ55 zɨ53
Lahu Na	bee	pied
Zaozou	bee	pio 31 o~ 33
Jinuo	bee	pjɔ jɔ
Naxi	bee	mba33
Zaiwa	bee	pjo` 21 jaŋ 21
Mandarin	beetle	jia chong32
Nasu	beetle	-
Lisu	beetle	-
Baihong	beetle	-
Hani	beetle	al hov eq e byuq ssaq
Nosu	beetle	-
Samei	beetle	-
Nisu	beetle	-
Biyue	beetle	-
Kucong	beetle	ça bo ʝi gæ
Nusu	beetle	-
Jinghpo	beetle	kop rong ai shingtai
Lahu Shi	beetle	-
Lahu Na	beetle	-
Zaozou	beetle	-
Jinuo	beetle	-
Naxi	beetle	-
Zaiwa	beetle	-
Mandarin	belch	da ge32
Nasu	belch	ɣa_ 21 mo_ 21 tsɯ_ 55 khɯ 33
Lisu	belch	kɯ 55 tɯ 55 dɯ 31
Baihong	belch	kɤ55 dɤ31 dɤ31
Hani	belch	heldev dev
Nosu	belch	oplippup; sip'ot
Samei	belch	-
Nisu	belch	ʔɤ 55 lɤ 55 khɯ 33
Biyue	belch	xe35 ge31
Kucong	belch	ә dә
Nusu	belch	da gɤ
Jinghpo	belch	gaik
Lahu Shi	belch	E31 kɤ33 lɤ33 mɤ31
Lahu Na	belch	eo* tie*
Zaozou	belch	ʑɯ 44
Jinuo	belch	ɤ ka mɯ mә
Naxi	belch	-
Zaiwa	belch	mjo? 21
Mandarin	bell	ling2
Nasu	bell	tʂu 33
Lisu	bell	tsɯ 55 lɯ 55
Baihong	bell	tsa (dzɤ?)55 tsv31
Hani	bell	qulsul
Nosu	bell	zyly
Samei	bell	dzɤ Lɤ
Nisu	bell	tsE 55 lE 55
Biyue	bell	dzɤ55 tɤ55
Kucong	bell	ʝi li
Nusu	bell	liŋ
Jinghpo	bell	dingsi
Lahu Shi	bell	tiŋ33 liŋ33
Lahu Na	bell	cu lu
Zaozou	bell	tsɯ~ 55 lɯ 55 læ 31
Jinuo	bell	tsa ji
Naxi	bell	tɕy31 zɯ33
Zaiwa	bell	tʃu_ 51 mo 55
Mandarin	belly	du zi40
Nasu	belly	o 55 pe 33
Lisu	belly	he 31 ma 33
Baihong	belly	ɔ31 ma55
Hani	belly	wuqdeiq
Nosu	belly	ipmop
Samei	belly	a bu
Nisu	belly	A 21 piɛ 55
Biyue	belly	o31 pv.31
Kucong	belly	vә be
Nusu	belly	yɛ
Jinghpo	belly	kan
Lahu Shi	belly	ɣɔ53 pi31
Lahu Na	belly	xud pel
Zaozou	belly	va 31 læ 31
Jinuo	belly	u phu
Naxi	belly	ndv31 me33
Zaiwa	belly	vam 21
Mandarin	big	da4
Nasu	big	ɣo, 53
Lisu	big	vu 31
Baihong	big	xɯ31
Hani	big	heeq
Nosu	big	axyy
Samei	big	ɣa
Nisu	big	ɣE 33
Biyue	big	xɤ31
Kucong	big	ә (?)
Nusu	big	ʐi
Jinghpo	big	gaba
Lahu Shi	big	ɔ31 kiAŋ35
Lahu Na	big	euf
Zaozou	big	ʑi 31
Jinuo	big	la hɯ
Naxi	big	ndɯ31
Zaiwa	big	ko_ 21
Mandarin	big brother	ge ge10
Nasu	big brother	a 55 mu 33
Lisu	big brother	a 55 ʒi 42
Baihong	big brother	a31 go55
Hani	big brother	al go
Nosu	big brother	vytvu
Samei	big brother	a gɔu
Nisu	big brother	A 55 mo 55
Biyue	big brother	a55 go33
Kucong	big brother	go go
Nusu	big brother	mɯ mɯ
Jinghpo	big brother	hpu
Lahu Shi	big brother	A33 kɔ33
Lahu Na	big brother	a viq paf
Zaozou	big brother	a 33 tiæ 33
Jinuo	big brother	a ʃo
Naxi	big brother	ә33 mbu31
Zaiwa	big brother	a 55 phu 21
Mandarin	big sister	jie jie30
Nasu	big sister	a 33 ne 55
Lisu	big sister	a 55 tsɨ 44
Baihong	big sister	a55 ba31
Hani	big sister	al ba
Nosu	big sister	vytmop
Samei	big sister	a ji
Nisu	big sister	A 55 vi_ 21
Biyue	big sister	a55 dʑe31
Kucong	big sister	ba ba
Nusu	big sister	mɯ mɯ
Jinghpo	big sister	na
Lahu Shi	big sister	A33 tɕe53
Lahu Na	big sister	awl viq ma
Zaozou	big sister	a 33 ma 31
Jinuo	big sister	a ʃo
Naxi	big sister	me55 me31
Zaiwa	big sister	a 55 na_ 55
Mandarin	bird	niao3
Nasu	bird	ŋa_ 21
Lisu	bird	niɛ 35
Baihong	bird	a55 dʑi55
Hani	bird	al zil
Nosu	bird	hxiezyr
Samei	bird	ŋɔ
Nisu	bird	xi_ɛ_ 33
Biyue	bird	ŋa33 jɔ31
Kucong	bird	ŋa
Nusu	bird	hau
Jinghpo	bird	nam u
Lahu Shi	bird	ŋA54
Lahu Na	bird	ngat
Zaozou	bird	ŋɔ 44 o~ 33
Jinuo	bird	ŋa zɔ
Naxi	bird	v.55 zi33
Zaiwa	bird	ŋo_ʔ
Mandarin	bite	yao3
Nasu	bite	tɕhɤ_ 55
Lisu	bite	kho 42
Baihong	bite	go31
Hani	bite	kovq
Nosu	bite	znyt
Samei	bite	khɯ
Nisu	bite	tʂhɤ_ 21
Biyue	bite	tɔ31
Kucong	bite	cɛ
Nusu	bite	tswa
Jinghpo	bite	gawa
Lahu Shi	bite	tɕhi 21
Lahu Na	bite	cher
Zaozou	bite	ŋa 42
Jinuo	bite	thɔ
Naxi	bite	kha
Zaiwa	bite	ŋat 21
Mandarin	bitter	ku3
Nasu	bitter	khɔ 33
Lisu	bitter	khua 31
Baihong	bitter	xa31 (same as salty)
Hani	bitter	haq
Nosu	bitter	ke
Samei	bitter	kha
Nisu	bitter	khA 33
Biyue	bitter	kɔ31
Kucong	bitter	a qha
Nusu	bitter	kwɔ
Jinghpo	bitter	hka
Lahu Shi	bitter	qhA53
Lahu Na	bitter	kheor
Zaozou	bitter	khou 31
Jinuo	bitter	a khɒ
Naxi	bitter	kha33
Zaiwa	bitter	kho 21
Mandarin	black	hei1
Nasu	black	na_ 21
Lisu	black	e 55 nɛ 44
Baihong	black	na55
Hani	black	nav
Nosu	black	axnuo
Samei	black	ne
Nisu	black	ni_ɛ_ 33
Biyue	black	na33
Kucong	black	a na
Nusu	black	no
Jinghpo	black	chyang
Lahu Shi	black	nA54
Lahu Na	black	nat
Zaozou	black	no 42
Jinuo	black	a na
Naxi	black	na31
Zaiwa	black	no? 21
Mandarin	blood	xue4
Nasu	blood	sɯ 33
Lisu	blood	sɨ 31
Baihong	blood	si (ɕi?)31
Hani	blood	sivq
Nosu	blood	sy
Samei	blood	ʂɨ ɲi (ni?)
Nisu	blood	ʂɨ 33
Biyue	blood	o31 ʃɨ31
Kucong	blood	çәr (çɚ?)
Nusu	blood	swi
Jinghpo	blood	sai
Lahu Shi	blood	sɨ31
Lahu Na	blood	awl sif
Zaozou	blood	ɕyi 31
Jinuo	blood	a ɕi
Naxi	blood	sa33
Zaiwa	blood	sui 21
Mandarin	blow (out)	chui (mie)14
Nasu	blow (out)	mu_ 21
Lisu	blow (out)	mu 44
Baihong	blow (out)	-
Hani	blow (out)	-
Nosu	blow (out)	-
Samei	blow (out)	-
Nisu	blow (out)	mu_ 33
Biyue	blow (out)	dzɨ33
Kucong	blow (out)	-
Nusu	blow (out)	-
Jinghpo	blow (out)	-
Lahu Shi	blow (out)	mɤ53
Lahu Na	blow (out)	-
Zaozou	blow (out)	mi 42
Jinuo	blow (out)	-
Naxi	blow (out)	-
Zaiwa	blow (out)	mut 21
Mandarin	blow [of person]	chui1
Nasu	blow [of person]	mu_ 21
Lisu	blow [of person]	mu 44
Baihong	blow [of person]	bo31
Hani	blow [of person]	bo sil
Nosu	blow [of person]	hmo
Samei	blow [of person]	m. mɤ
Nisu	blow [of person]	mu_ 33
Biyue	blow [of person]	li55
Kucong	blow [of person]	mɯ
Nusu	blow [of person]	mɯ
Jinghpo	blow [of person]	wut
Lahu Shi	blow [of person]	zɔ33 (= feng chui)
Lahu Na	blow [of person]	meot
Zaozou	blow [of person]	læ 55
Jinuo	blow [of person]	tsɨ
Naxi	blow [of person]	mʊ
Zaiwa	blow [of person]	mut 21
Mandarin	blow [of wind]	gua1
Nasu	blow [of wind]	ɳɯ 21
Lisu	blow [of wind]	dʒɯ 42
Baihong	blow [of wind]	bɔ55
Hani	blow [of wind]	bo
Nosu	blow [of wind]	pur
Samei	blow [of wind]	mә (mɯ ʂi mә = gua feng)
Nisu	blow [of wind]	ɬiɛ 55
Biyue	blow [of wind]	li55
Kucong	blow [of wind]	mɯ
Nusu	blow [of wind]	hɬi
Jinghpo	blow [of wind]	bung
Lahu Shi	blow [of wind]	xɔ~55
Lahu Na	blow [of wind]	meot
Zaozou	blow [of wind]	læ 55
Jinuo	blow [of wind]	phjo (li phjo phjo = gua feng)
Naxi	blow [of wind]	thv33
Zaiwa	blow [of wind]	lo 51
Mandarin	blue	lan2
Nasu	blue	ɣo_ 55
Lisu	blue	e 55 ni 35 tʃhi 42
Baihong	blue	ny55
Hani	blue	peel
Nosu	blue	avut
Samei	blue	phɤ
Nisu	blue	nɯ 55
Biyue	blue	la~31
Kucong	blue	a ɲɔ
Nusu	blue	ɲɯ
Jinghpo	blue	panglai nsam
Lahu Shi	blue	nɔ55 lA33
Lahu Na	blue	naw
Zaozou	blue	ɕa 44
Jinuo	blue	a lɯ
Naxi	blue	lan
Zaiwa	blue	ɲui 51
Mandarin	boat	chuan2
Nasu	boat	lɔ 33
Lisu	boat	tsha 31 phu 31
Baihong	boat	lɔ31
Hani	boat	loq
Nosu	boat	-
Samei	boat	ʐɨ
Nisu	boat	lA 33
Biyue	boat	lo31
Kucong	boat	lɔ
Nusu	boat	-
Jinghpo	boat	li
Lahu Shi	boat	tshuAn 21
Lahu Na	boat	haw lor qof
Zaozou	boat	ʔo~ 31 tsɔ 33
Jinuo	boat	tʃhwan
Naxi	boat	lɯ
Zaiwa	boat	la_i 55
Mandarin	boil	zhu3
Nasu	boil	tʂa_ 55
Lisu	boil	tʃa 55
Baihong	boil	dza31
Hani	boil	qavq
Nosu	boil	jot
Samei	boil	ji
Nisu	boil	tɕi_ɛ_ 21
Biyue	boil	dza31
Kucong	boil	ɟa
Nusu	boil	gjɔ
Jinghpo	boil	shadu
Lahu Shi	boil	tsA35
Lahu Na	boil	caq
Zaozou	boil	tɕiɔ 44
Jinuo	boil	tʃha
Naxi	boil	tɕә55
Zaiwa	boil	tʃo_ 55
Mandarin	bone	gu to30
Nasu	bone	ɣɯ 21
Lisu	bone	o 42 to 44
Baihong	bone	sa31 ʐɨ31
Hani	bone	saqyyuq
Nosu	bone	-
Samei	bone	ha v(y)
Nisu	bone	ɣɯ 33
Biyue	bone	o31 ji31
Kucong	bone	a ga
Nusu	bone	ʐɨ
Jinghpo	bone	nra
Lahu Shi	bone	ɔ31 u53 ku33
Lahu Na	bone	awl mur ku
Zaozou	bone	xo 31 ʔua 44
Jinuo	bone	ʃɔ ɯ
Naxi	bone	so33 lo33
Zaiwa	bone	ʃo` 21 vui 21
Mandarin	bow	gong1
Nasu	bow	tɕha_ 55
Lisu	bow	mia 31 ma 33
Baihong	bow	ga55 dɤ (dɯ?)31
Hani	bow	kavtev
Nosu	bow	hot
Samei	bow	-
Nisu	bow	lo 55 bɛ_ 33
Biyue	bow	-
Kucong	bow	kha
Nusu	bow	li
Jinghpo	bow	ndan
Lahu Shi	bow	lɛ35 bɔ53
Lahu Na	bow	khaq
Zaozou	bow	le 31 kha 42
Jinuo	bow	lɯ pja
Naxi	bow	lɯ33 ɣɯ
Zaiwa	bow	lai 21
Mandarin	bowl	wan3
Nasu	bowl	pa_ 21
Lisu	bowl	sɨ 55 kɯ 55
Baihong	bowl	xo (xɔ)31 ma31
Hani	bowl	haoq maq
Nosu	bowl	zhepsse
Samei	bowl	si (ɕi?)
Nisu	bowl	pi_ɛ_ 33 sE 33
Biyue	bowl	kɔ31 jɔ31
Kucong	bowl	kho
Nusu	bowl	phɯ
Jinghpo	bowl	wan
Lahu Shi	bowl	A33 khɛ53
Lahu Na	bowl	awl khied
Zaozou	bowl	e 35 læ 31
Jinuo	bowl	lo phʊ
Naxi	bowl	khua55
Zaiwa	bowl	khoʔ 55
Mandarin	boy	nan hai22
Nasu	boy	ɬa_ 55 zo 33
Lisu	boy	za 31 gu 31 lɛ 55
Baihong	boy	ja31 jo (jʊ?)55
Hani	boy	-
Nosu	boy	ssevo
Samei	boy	ʂɨ le lɔ
Nisu	boy	tʂhA 21 ɬi_ɛ_ 21
Biyue	boy	ɕɔ31 xɔ31 dzɨ
Kucong	boy	xɔ qha ba
Nusu	boy	ju~ ʐwɔ
Jinghpo	boy	shadang sha
Lahu Shi	boy	tshɔ33 xA35
Lahu Na	boy	ca* ba*
Zaozou	boy	ku 31 lou 31 zo 31
Jinuo	boy	khɒ phɒ zɒ kʊ
Naxi	boy	zwɔ zy
Zaiwa	boy	i 21 ʒam 51
Mandarin	brain	nao zi30
Nasu	brain	ʔu 33 no 55
Lisu	brain	o 55 nɯ 55
Baihong	brain	ʊ55 nʊ31
Hani	brain	wuqnaovq
Nosu	brain	onot
Samei	brain	no
Nisu	brain	ʔu_ 33 nu_ 21
Biyue	brain	v.31 xe31
Kucong	brain	u nɔ
Nusu	brain	o xiu~
Jinghpo	brain	bonu
Lahu Shi	brain	u~ŋ35 nɛ31
Lahu Na	brain	uq nawr
Zaozou	brain	ɣɯ 31 na 44
Jinuo	brain	v. no
Naxi	brain	gʊ fv. dʑi
Zaiwa	brain	u 21 nuʔ 55
Mandarin	branch	zhi1
Nasu	branch	si_ 21 ka_ 55
Lisu	branch	sɨ 35 lɛ 31 ka 55
Baihong	branch	a55 la31
Hani	branch	al lavq
Nosu	branch	lot
Samei	branch	ʂɨ gau
Nisu	branch	sɨ_ 33 li_ɛ_ 21
Biyue	branch	la31 ja55
Kucong	branch	çә gaj læ
Nusu	branch	-
Jinghpo	branch	lakying
Lahu Shi	branch	sɨ54 qA35
Lahu Na	branch	sit qaq
Zaozou	branch	sæ 55 ?ɯ 35
Jinuo	branch	a la
Naxi	branch	ndzәr31 gɯ
Zaiwa	branch	sik 55 kja_ŋ 51
Mandarin	break (damage)	nong huai24
Nasu	break (damage)	ʈha_ 21
Lisu	break (damage)	phiɛ 35 thɯ 33
Baihong	break (damage)	dzɤ31 bje31
Hani	break (damage)	-
Nosu	break (damage)	-
Samei	break (damage)	di khɔ
Nisu	break (damage)	gu 21 nɛ_ 33
Biyue	break (damage)	mi55 bje31
Kucong	break (damage)	xɯ no
Nusu	break (damage)	mu gi
Jinghpo	break (damage)	-
Lahu Shi	break (damage)	phuo35 xuAi35
Lahu Na	break (damage)	tie* lul (= nong + huai)
Zaozou	break (damage)	mu 33 a 44
Jinuo	break (damage)	mɯ ɬæ (ɬæ = bad)
Naxi	break (damage)	phiә55 phiә33
Zaiwa	break (damage)	lo_? 55 phjoʔ 51
Mandarin	break in two (as a branch)	duan4
Nasu	break in two (as a branch)	ɖɯ 33
Lisu	break in two (as a branch)	kho 35 ʒe 44
Baihong	break in two (as a branch)	dʑe31
Hani	break in two (as a branch)	ceiv
Nosu	break in two (as a branch)	-
Samei	break in two (as a branch)	thi gɔ
Nisu	break in two (as a branch)	thɯ 33
Biyue	break in two (as a branch)	dɕe33
Kucong	break in two (as a branch)	ce
Nusu	break in two (as a branch)	tʂɨ
Jinghpo	break in two (as a branch)	do
Lahu Shi	break in two (as a branch)	ɔŋ35 thɛ33
Lahu Na	break in two (as a branch)	thie*
Zaozou	break in two (as a branch)	kɯ 31
Jinuo	break in two (as a branch)	thɯ
Naxi	break in two (as a branch)	-
Zaiwa	break in two (as a branch)	kjui 21
Mandarin	breast	nai3
